1,0.1,0
2,0.2,0
3,0.3,0
4,0.4,0
5,0.5,0
6,0.6,0
7,0.7,0
8,0.8,0
9,0.9,0
10,1,0
11,1.1,0
12,1.2,0
13,1.3,0
14,1.4,0
15,1.5,0
16,1.6,1
17,1.7,1
18,1.8,1
19,1.9,1
20,2,1
21,2.1,1
22,2.2,1
23,2.3,1
24,2.4,1
25,2.5,1
26,2.6,1
27,2.7,1
28,2.8,1
29,2.9,1
30,3,1
31,3.1,1
32,3.2,1
33,3.3,1
34,3.4,1
35,3.5,1
36,3.6,1
37,3.7,1
38,3.8,1
39,3.9,1
40,4,1
41,4.1,1
42,4.2,1
43,4.3,1
44,4.4,1
45,4.5,1
46,4.6,1
47,4.7,1
48,4.8,1
49,4.9,1
50,5,1
51,5.1,1
52,5.2,1
53,5.3,1
54,5.4,1
55,5.5,1
56,5.6,1
57,5.7,1
58,5.8,1
59,5.9,1
60,6,1
61,6.1,1
62,6.2,1
63,6.3,1
64,6.4,1
65,6.5,1
66,6.6,1
67,6.7,1
68,6.8,1
69,6.9,1
70,7,1
71,7.1,1
72,7.2,0.985193
73,7.3,0.950133
74,7.4,0.915072
75,7.5,0.880012
76,7.6,0.844952
77,7.7,0.809892
78,7.8,0.774831
79,7.9,0.739771
80,8,0.704711
81,8.1,0.24448
82,8.2,0.23168
83,8.3,0.21888
84,8.4,0.20608
85,8.5,0.19328
86,8.6,0.18048
87,8.7,0.16768
88,8.8,0.15488
89,8.9,0.14208
90,9,0.12928
91,9.1,0.11648
92,9.2,0.10368
93,9.3,0.09088
94,9.4,0.07808
95,9.5,0.06528
96,9.6,0.05248
97,9.7,0.03968
98,9.8,0.02688
99,9.9,0.01408
100,10,0.00128
